community,meandolar,COUNT_2
DOUGLAS,153.0000000000000000,4.0000000000000000
OAKLAND,171.0000000000000000,2.0000000000000000
FULLER PARK,113.0000000000000000,5.0000000000000000
GRAND BOULEVARD,133.0000000000000000,1.0000000000000000
KENWOOD,184.0000000000000000,3.0000000000000000
LINCOLN SQUARE,248.0000000000000000,1.0000000000000000
WASHINGTON PARK,80.0000000000000000,8.0000000000000000
HYDE PARK,173.0000000000000000,11.0000000000000000
WOODLAWN,106.0000000000000000,2.0000000000000000
ROGERS PARK,163.0000000000000000,2.0000000000000000
JEFFERSON PARK,219.0000000000000000,
FOREST GLEN,239.0000000000000000,
NORTH PARK,197.0000000000000000,2.0000000000000000
ALBANY PARK,205.0000000000000000,4.0000000000000000
PORTAGE PARK,190.0000000000000000,3.0000000000000000
IRVING PARK,206.0000000000000000,3.0000000000000000
DUNNING,200.0000000000000000,1.0000000000000000
MONTCLARE,187.0000000000000000,2.0000000000000000
BELMONT CRAGIN,168.0000000000000000,1.0000000000000000
WEST RIDGE,175.0000000000000000,6.0000000000000000
HERMOSA,205.0000000000000000,
AVONDALE,222.0000000000000000,
LOGAN SQUARE,304.0000000000000000,6.0000000000000000
HUMBOLDT PARK,140.0000000000000000,
WEST TOWN,300.0000000000000000,14.0000000000000000
AUSTIN,124.0000000000000000,1.0000000000000000
WEST GARFIELD PARK,81.0000000000000000,
EAST GARFIELD PARK,91.0000000000000000,12.0000000000000000
NEAR WEST SIDE,316.0000000000000000,7.0000000000000000
NORTH LAWNDALE,87.0000000000000000,3.0000000000000000
UPTOWN,222.0000000000000000,10.0000000000000000
SOUTH LAWNDALE,130.0000000000000000,
LOWER WEST SIDE,235.0000000000000000,3.0000000000000000
NEAR SOUTH SIDE,338.0000000000000000,25.0000000000000000
ARMOUR SQUARE,265.0000000000000000,2.0000000000000000
NORWOOD PARK,228.0000000000000000,
NEAR NORTH SIDE,459.0000000000000000,14.0000000000000000
LOOP,467.0000000000000000,32.0000000000000000
SOUTH SHORE,69.0000000000000000,1.0000000000000000
CHATHAM,96.0000000000000000,1.0000000000000000
AVALON PARK,83.0000000000000000,
SOUTH CHICAGO,42.0000000000000000,1.0000000000000000
BURNSIDE,94.0000000000000000,
MCKINLEY PARK,164.0000000000000000,2.0000000000000000
LAKE VIEW,301.0000000000000000,9.0000000000000000
CALUMET HEIGHTS,103.0000000000000000,1.0000000000000000
ROSELAND,85.0000000000000000,1.0000000000000000
NORTH CENTER,275.0000000000000000,1.0000000000000000
PULLMAN,116.0000000000000000,
SOUTH DEERING,70.0000000000000000,1.0000000000000000
EAST SIDE,105.0000000000000000,2.0000000000000000
WEST PULLMAN,77.0000000000000000,4.0000000000000000
RIVERDALE,44.0000000000000000,
HEGEWISCH,90.0000000000000000,
GARFIELD RIDGE,213.0000000000000000,
ARCHER HEIGHTS,151.0000000000000000,
BRIGHTON PARK,212.0000000000000000,
BRIDGEPORT,204.0000000000000000,1.0000000000000000
NEW CITY,137.0000000000000000,6.0000000000000000
WEST ELSDON,169.0000000000000000,
GAGE PARK,143.0000000000000000,2.0000000000000000
CLEARING,189.0000000000000000,
WEST LAWN,129.0000000000000000,
CHICAGO LAWN,113.0000000000000000,2.0000000000000000
WEST ENGLEWOOD,59.0000000000000000,3.0000000000000000
ENGLEWOOD,55.0000000000000000,1.0000000000000000
GREATER GRAND CROSSING,74.0000000000000000,1.0000000000000000
LINCOLN PARK,365.0000000000000000,56.0000000000000000
ASHBURN,160.0000000000000000,1.0000000000000000
AUBURN GRESHAM,100.0000000000000000,3.0000000000000000
BEVERLY,175.0000000000000000,3.0000000000000000
WASHINGTON HEIGHTS,110.0000000000000000,
MOUNT GREENWOOD,178.0000000000000000,1.0000000000000000
MORGAN PARK,123.0000000000000000,2.0000000000000000
OHARE,151.0000000000000000,
EDGEWATER,217.0000000000000000,5.0000000000000000
EDISON PARK,217.0000000000000000,1.0000000000000000
